investor_slug,ticker,stock,value,value_text,portfolio_url
mason-hawkins-longleaf-partners,ACI,ALBERTSONS COS INC - CLASS A,59646090.0,"$59,646,090",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,AVTR,AVANTOR INC,35370556.0,"$35,370,556",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,BIO,BIO-RAD LABORATORIES-A,42695229.0,"$42,695,229",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,CNHI,CNH INDUSTRIAL NV,30504130.0,"$30,504,130",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,CNX,CNX RESOURCES CORP,66326829.0,"$66,326,829",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,EXXRF,EXOR NV,66085516.0,"$66,085,516",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,FDX,FEDEX CORP,52632891.0,"$52,632,891",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,FIS,FIDELITY NATIONAL INFO SERV,35130357.0,"$35,130,357",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,FBHS,FORTUNE BRANDS HOME & SECURI,34459228.0,"$34,459,228",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,IAC,IAC INTERACTIVECORP NEW,75838594.0,"$75,838,594",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,KHC,KRAFT HEINZ CO/THE,61143683.0,"$61,143,683",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,LPX,LOUISIANA-PACIFIC CORP,11291136.0,"$11,291,136",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,MICC,MAGNUM ICE CREAM CO NV/THE,54592491.0,"$54,592,491",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,MAT,MATTEL INC,66993132.0,"$66,993,132",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,MGM,MGM RESORTS INTERNATIONAL,42744057.0,"$42,744,057",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,PYPL,PAYPAL HOLDINGS INC,27453078.0,"$27,453,078",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,PCH,POTLATCHDELTIC CORP,51329088.0,"$51,329,088",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,PVH,PVH CORP,43602541.0,"$43,602,541",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,RYN,RAYONIER INC,51861211.0,"$51,861,211",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,REGN,REGENERON PHARMACEUTICALS,66616240.0,"$66,616,240",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
mason-hawkins-longleaf-partners,DIS,WALT DISNEY CO/THE,22034177.0,"$22,034,177",https://valuesider.com/guru/mason-hawkins-longleaf-partners/portfolio
phil-town-rule-one-fund,ASML,ASML HOLDING NV-NY REG SHS,7596006.0,"$7,596,006",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,CNSWF,CONSTELLATION SOFTWARE INC,5999357.0,"$5,999,357",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,FNMA,FANNIE MAE,4292000.0,"$4,292,000",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,GOIXX,FH GOVERNMENT OBLIGATION-IS,105099113.0,"$105,099,113",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,FMCC,FREDDIE MAC,4056000.0,"$4,056,000",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,LULU,LULULEMON ATHLETICA INC,21134277.0,"$21,134,277",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,NFLX,NETFLIX INC,34691200.0,"$34,691,200",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,NKE,NIKE INC -CL B,2229850.0,"$2,229,850",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,PYPL,PAYPAL HOLDINGS INC,2043300.0,"$2,043,300",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,POOL,POOL CORP,1715625.0,"$1,715,625",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
phil-town-rule-one-fund,SFM,SPROUTS FARMERS MARKET INC,15973835.0,"$15,973,835",https://valuesider.com/guru/phil-town-rule-one-fund/portfolio
van-duyn-dodge-e-morris-cox-dodge--cox,ADBE,ADOBE INC,574018599.0,"$574,018,599",https://valuesider.com/guru/van-duyn-dodge-e-morris-cox-dodge--cox/portfolio
